date_new,well_ft
2007-10-30-13,1.842
2007-10-30-14,1.842
2007-10-30-15,1.832
2007-10-30-16,1.832
2007-10-30-17,1.812
2007-10-30-18,1.812
2007-10-30-19,1.812
2007-10-30-20,1.802
2007-10-30-21,1.802
2007-10-30-22,1.792
2007-10-30-23,1.792
2007-10-31-00,1.792
2007-10-31-01,1.792
2007-10-31-02,1.792
2007-10-31-03,1.792
2007-10-31-04,1.792
2007-10-31-05,1.792
2007-10-31-06,1.782
2007-10-31-07,1.782
2007-10-31-08,1.782
2007-10-31-09,1.772
2007-10-31-10,1.772
2007-10-31-11,1.772
2007-10-31-12,1.772
2007-10-31-13,1.772
2007-10-31-14,1.772
2007-10-31-15,1.782
2007-10-31-16,1.782
2007-10-31-17,1.792
2007-10-31-18,1.802
2007-10-31-19,1.822
2007-10-31-20,1.832
2007-10-31-21,1.832
2007-10-31-22,1.832
2007-10-31-23,1.832
2007-11-01-00,1.832
2007-11-01-01,1.842
2007-11-01-02,1.842
2007-11-01-03,1.842
2007-11-01-04,1.842
2007-11-01-05,1.842
2007-11-01-06,1.832
2007-11-01-07,1.832
2007-11-01-08,1.832
2007-11-01-09,1.822
2007-11-01-10,1.812
2007-11-01-11,1.812
2007-11-01-12,1.802
2007-11-01-13,1.802
2007-11-01-14,1.812
2007-11-01-15,1.812
2007-11-01-16,1.812
2007-11-01-17,1.802
2007-11-01-18,1.802
2007-11-01-19,1.802
2007-11-01-20,1.802
2007-11-01-21,1.792
2007-11-01-22,1.792
2007-11-01-23,1.792
2007-11-02-00,1.782
2007-11-02-01,1.782
2007-11-02-02,1.782
2007-11-02-03,1.782
2007-11-02-04,1.782
2007-11-02-05,1.782
2007-11-02-06,1.782
2007-11-02-07,1.772
2007-11-02-08,1.772
2007-11-02-09,1.762
2007-11-02-10,1.762
2007-11-02-11,1.752
2007-11-02-12,1.752
2007-11-02-13,1.752
2007-11-02-14,1.752
2007-11-02-15,1.752
2007-11-02-16,1.752
2007-11-02-17,1.752
